Port;Transport;Protocol;
176;TCP, UDP;GENRAD-MUX.;
177;TCP, UDP;XDMCP, X Display Manager Control Protocol.;
178;TCP, UDP;NextStep Window Server.;
179;TCP;BGP, Border Gateway Protocol.;
180;TCP,  UDP;Intergraph.;
181;TCP,  UDP;Unify.;
182;TCP,  UDP;Unisys Audit SITP.;
183;TCP, UDP;OCBinder.;
184;TCP, UDP;OCServer.;
185;TCP, UDP;Knowbot Information Service.;
186;TCP, UDP;KIS Protocol.;
187;TCP, UDP;Application Communication Interface.;
188;TCP, UDP;Plus Five's MUMPS.;
189;TCP, UDP;Queued File Transport.;
190;TCP, UDP;Gateway Access Control Protocol.;
191;TCP, UDP;Prospero Directory Service.;
192;TCP, UDP;OSU Network Monitoring System.;
193;TCP, UDP;Spider Remote Monitoring Protocol.;
194;TCP, UDP;Internet Relay Chat Protocol.;
195;TCP, UDP;DNSIX Network Level Module Audit.;
196;TCP, UDP;DNSIX Session Mgt Module Audit Redir.;
197;TCP, UDP;Directory Location Service.;
198;TCP, UDP;Directory Location Service Monitor.;
199;TCP;SMUX.;
200;TCP, UDP;IBM System Resource Controller.;
201;TCP, UDP;AppleTalk Routing Maintenance.;
202;TCP, UDP;AppleTalk Name Binding.;
203;TCP, UDP;AppleTalk Unused.;
204;TCP, UDP;AppleTalk Echo.;
205;TCP, UDP;AppleTalk Unused.;
206;TCP, UDP;AppleTalk Zone Information.;
207;TCP, UDP;AppleTalk Unused.;
208;TCP, UDP;AppleTalk Unused.;
209;TCP, UDP;The Quick Mail Transfer Protocol.;
210;TCP;Z39.50.;
211;TCP, UDP;Texas Instruments 914C/G Terminal.;
212;TCP, UDP;ATEXSSTR.;
213;TCP, UDP;IPX.;
214;TCP, UDP;VM PWSCS.;
215;TCP, UDP;Insignia Solutions.;
216;TCP, UDP;Computer Associates Int'l License Server.;
217;TCP, UDP;dBASE Unix.;
218;TCP;MPP, Message Posting Protocol.;
219;TCP, UDP;Unisys ARPs.;
220;TCP;IMAP, Interactive Mail Access Protocol, version 3.;
221;TCP, UDP;Berkeley rlogind with SPX auth.;
222;TCP, UDP;Berkeley rshd with SPX auth.;
223;TCP, UDP;Certificate Distribution Center.;
242;TCP, UDP;Direct.;
243;TCP, UDP;Survey Measurement.;
244;TCP, UDP;Dayna.;
245;TCP, UDP;LINK.;
246;TCP, UDP;Display Systems Protocol.;
247;TCP, UDP;SUBNTBCST_TFTP.;
248;TCP, UDP;bhfhs.;
256;TCP, UDP;RAP.;
257;TCP, UDP;Secure Electronic Transaction.;
258;TCP, UDP;Yak Winsock Personal Chat.;
259;UDP;ESRO, Efficient Short Remote Operations.;
260;TCP, UDP;Openport.;
261;TCP, UDP;IIOP Name Service over TLS/SSL.;
262;TCP, UDP;Arcisdms.;
263;TCP, UDP;HDAP.;
264;TCP;BGMP, Border Gateway Multicast Protocol.;
265;TCP, UDP;X-Bone CTL.;
266;TCP, UDP;SCSI on ST.;
267;TCP, UDP;Tobit David Service Layer.;
268;TCP, UDP;Tobit David Replica.;
269;TCP, UDP;MANET protocols.;
270;UDP;GIST Q-mode messages.;
271;TCP;IETF Network Endpoint Assessment (NEA) Posture Transport Protocol over TLS (PT-TLS).;
280;TCP, UDP;http-mgmt.;
281;TCP, UDP;Personal Link.;
282;TCP, UDP;Cable Port A/X.;
283;TCP, UDP;rescap.;
284;TCP, UDP;corerjd.;
286;TCP, UDP;FXP-1.;
287;TCP, UDP;K-BLOCK.;
308;TCP, UDP;Novastor Backup.;
309;TCP, UDP;EntrustTime.;
310;TCP, UDP;bhmds.;
311;TCP, UDP;AppleShare IP WebAdmin.;
312;TCP, UDP;VSLMP.;
313;TCP, UDP;Magenta Logic.;
314;TCP, UDP;Opalis Robot.;
315;TCP, UDP;DPSI.;
316;TCP, UDP;decAuth.;
317;TCP, UDP;Zannet.;
318;TCP;TSP, Time Stamp Protocol.;
319;TCP, UDP;PTP Event.;
320;TCP, UDP;PTP General.;
321;TCP, UDP;PIP.;
322;TCP, UDP;RTSPS.;
323;TCP, UDP;IMMP, Internet Message Mapping Protocol.;
333;TCP, UDP;Texar Security Port.;
344;TCP, UDP;Prospero Data Access Protocol.;
345;TCP, UDP;Performance Analysis Workbench.;
346;TCP, UDP;Zebra server.;
347;TCP, UDP;Fatmen Server.;
348;TCP, UDP;Cabletron Management Protocol.;
349;TCP, UDP;mftp.;
350;TCP;MATIP, Mapping of Airline Traffic over Internet Protocol, Type A.;
351;TCP;MATIP, Mapping of Airline Traffic over Internet Protocol, Type B.;
352;TCP, UDP;DTAG.;
353;TCP, UDP;NDSAUTH.;
354;TCP, UDP;bh611.;
355;TCP, UDP;DATEX-ASN.;
356;TCP, UDP;Cloanto Net 1.;
357;TCP, UDP;bhevent.;
358;TCP, UDP;Shrinkwrap.;
359;TCP, UDP;Tenebris Network Trace Service.;
360;TCP, UDP;scoi2odialog.;
361;TCP, UDP;Semantix.;
362;TCP, UDP;SRS Send.;
363;UDP;RSVP Tunnel.;
364;TCP, UDP;Aurora CMGR.;
365;TCP, UDP;DTK.;
366;TCP;SMTP, Simple Mail Transfer Protocol. ODMR, On-Demand Mail Relay.;
367;TCP, UDP;MortgageWare.;
368;TCP, UDP;QbikGDP.;
369;TCP, UDP;rpc2portmap.;
370;TCP, UDP;codaauth2.;
371;TCP, UDP;Clearcase.;
372;TCP, UDP;ListProcessor.;
373;TCP, UDP;Legent Corporation.;
374;TCP, UDP;Legent Corporation.;
375;TCP, UDP;Hassle.;
376;TCP, UDP;Amiga Envoy Network Inquiry Proto.;
377;TCP, UDP;NEC Corporation.;
378;TCP, UDP;NEC Corporation.;
379;TCP, UDP;TIA/EIA/IS-99 modem client.;
380;TCP, UDP;TIA/EIA/IS-99 modem server.;
381;TCP, UDP;HP performance data collector.;
382;TCP, UDP;HP performance data managed node.;
383;TCP, UDP;HP performance data alarm manager.;
384;TCP, UDP;A Remote Network Server System.;
385;TCP, UDP;IBM Application.;
386;TCP, UDP;ASA Message Router Object Def.;
387;UDP;AURP, AppleTalk Update-based Routing Protocol.;
388;TCP, UDP;Unidata LDM Version 4.;
389;TCP;LDAP, Lightweight Directory Access Protocol.;
389;UDP;CLDAP, Connection-less Lightweight X.500 Directory Access Protocol.;
390;TCP, UDP;UIS.;
391;TCP, UDP;SynOptics SNMP Relay Port.;
392;TCP, UDP;SynOptics Port Broker Port.;
